@id,@type,id,title,relation,address.district.@id,address.area.@id,address.locality,address.postal-code,address.street-address,location.latitude,location.longitude,organization.organization-desc,organization.accesibility,organization.schedule,organization.services,organization.organization-name
https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/10915708-instalacion-deportiva-municipal-basica-plaza-campillo-mundo-nuevo.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas,10915708,Instalación Deportiva Municipal Básica Plaza del Campillo de Mundo Nuevo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3e643e641a099610VgnVCM1000001d4a900aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Centro,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Centro/Barrio/Palacio,MADRID,28005,PLAZA Campillo del Mundo Nuevo ,40.41246022343046,-3.714538784977571,"  Bus: 25 , 31 , 33 , 36 , 39 , 41 , 50 , 65 , 138 , C",0,,1 Pista de patinaje 1 Pista de street workout,Instalación Deportiva Municipal Básica Plaza del Campillo de Mundo Nuevo
https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/4554531-instalacion-deportiva-municipal-basica-poblado-dirigido-elipa.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas,4554531,Instalación Deportiva Municipal Básica Poblado Dirigido La Elipa,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8e0bfa56a0bd1110VgnVCM1000000b205a0aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/CiudadLineal,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/CiudadLineal/Barrio/Ventas,MADRID,28017,CALLE JOSE LUIS DE ARRESE s/n,40.42181734986071,-3.6560225860720763,"  Bus: 15 , 28 , 71 , 110 , 113 , 210",0,,1 Pista de baloncesto.,Instalación Deportiva Municipal Básica Poblado Dirigido La Elipa
https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/5688632-instalacion-deportiva-municipal-basica-pobladura-valle.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas,5688632,Instalación Deportiva Municipal Básica Pobladura del Valle,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cd2cb2bdf65a8210VgnVCM2000000c205a0aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/SanBlas-Canillejas,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/SanBlas-Canillejas/Barrio/Arcos,MADRID,28037,CALLE POBLADURA DEL VALLE s/n c/v Amposta,40.42474106519291,-3.620898051733735,"  Metro: Simancas, San Blas.Bus: 4, 38, 48.",0,,1 Pista polideportiva,Instalación Deportiva Municipal Básica Pobladura del Valle
https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/4531342-instalacion-deportiva-municipal-basica-poeta-esteban-villegas.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol,4531342,Instalación Deportiva Municipal Básica Poeta Esteban Villegas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b431d9ba71d01110VgnVCM1000000b205a0aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Retiro,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Retiro/Barrio/LosJeronimos,MADRID,28014,CALLE POETA ESTEBAN DE VILLEGAS 4,40.40875051210095,-3.683108580090566,"  Metro: Atocha Renfe, Menéndez PelayoBus: 10 , 14 , 19 , 24 , 26, 32 , 37 , 54 , 57 , 63 , 141, 152 , CRenfe: Atocha",0,,1 Pista de Baloncesto1 Pista de Fútbol Sala1 Pista de Patinaje,Instalación Deportiva Municipal Básica Poeta Esteban Villegas
https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/4546653-instalacion-deportiva-municipal-basica-poligono-20.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol,4546653,Instalación Deportiva Municipal Básica Polígono 20,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f04524a6bcd81110VgnVCM1000000b205a0aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Chamartin,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Chamartin/Barrio/Prosperidad,MADRID,28002,CALLE PADRE CLARET 18,40.44961759191476,-3.6641939594197392,"  Metro: Alfonso XIIIBus: 9 , 40 , 43 , 72 , 73",0,,3 Pistas de fútbol sala.,Instalación Deportiva Municipal Básica Polígono 20
https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/4557627-instalacion-deportiva-municipal-basica-poligono-rosas.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol,4557627,Instalación Deportiva Municipal Básica Polígono de las Rosas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ce2dad35d7ae1110VgnVCM1000000b205a0aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/SanBlas-Canillejas,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/SanBlas-Canillejas/Barrio/Rosas,MADRID,28022,CALLE HELSINKI 8 c/v Oslo,40.425863011303306,-3.602966146720566,"  Bus: 38 , 140",0,,2 Pistas de baloncesto2 Pistas de fútbol sala,Instalación Deportiva Municipal Básica Polígono de las Rosas
https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/4550112-instalacion-deportiva-municipal-basica-poligono-africa.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol,4550112,Instalación Deportiva Municipal Básica Polígono de África,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ff421e23082a1110VgnVCM1000000b205a0aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/CiudadLineal,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/CiudadLineal/Barrio/PuebloNuevo,MADRID,28017,CALLE VILLAESCUSA 56,40.420332957105195,-3.629721806497472,"  Bus: 4 , 38 , 48 , 70 , 106 , 109.",0,,1 Campo de fútbol 7,Instalación Deportiva Municipal Básica Polígono de África
https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/6218289-instalacion-deportiva-municipal-basica-pradillo.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol,6218289,Instalación Deportiva Municipal Básica Pradillo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=76e69a58c3763310VgnVCM1000000b205a0aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Chamartin,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Chamartin/Barrio/CiudadJardin,MADRID,28002,CALLE PRADILLO 23,40.449080253816504,-3.672985961911911,"  Metro: Concha Espina , Alfonso XIIIBus: 9 , 16 , 29 , 40 , 43 , 52 , 72 , 73 , 120",0,,Pista de Fútbol 7 (césped artificial),Instalación Deportiva Municipal Básica Pradillo
https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/4560398-instalacion-deportiva-municipal-basica-pradillo-santa-marca.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol,4560398,Instalación Deportiva Municipal Básica Pradillo - Santa Marca,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8aa5f5e49c802110VgnVCM1000000b205a0aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Chamartin,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Chamartin/Barrio/CiudadJardin,MADRID,28002,CALLE PRADILLO 23,40.449080253816504,-3.672985961911911,"  Metro: Concha Espina , Alfonso XIIIBus: 9 , 16 , 29 , 40 , 43 , 52 , 72 , 73 , 120",0,,Pista de Fútbol-Sala,Instalación Deportiva Municipal Básica Pradillo - Santa Marca
https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/4560680-instalacion-deportiva-municipal-basica-prosperidad.json,https://datos.madrid.es/egob/kos/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol,4560680,Instalación Deportiva Municipal Básica Prosperidad,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=de57058fe5902110VgnVCM1000000b205a0aRCRD,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Chamartin,https://datos.madrid.es/egob/kos/Provincia/Madrid/Municipio/Madrid/Distrito/Chamartin/Barrio/CiudadJardin,MADRID,28002,CALLE PRADILLO 25,40.44901182281747,-3.672360271279946,"  Metro: Concha Espina , Alfonso XIIIBus: 9 , 16 , 29 , 40 , 43 , 52 , 72 , 73 , 120",0,,1 Campo de fútbol 7,Instalación Deportiva Municipal Básica Prosperidad
