Place of interest,Station location,BiciMAD station,Station location,Indications
Instalación Deportiva Municipal Básica Cocheras (Ciudad Lineal),CALLE SAN LAMBERTO s/n,Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,"https://www.google.com/maps/dir/40.42244010701552,-3.6494391609819576/40.426207143200884,-3.651034981803642/@40.42244010701552,-3.6494391609819576,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6494391609819576!2d40.42244010701552!1m0!3e2"
Instalación Deportiva Municipal Básica Cocheras (Retiro),CALLE COCHERAS 1,Pedro Bosch,Calle Cerro de la Plata nº 2,"https://www.google.com/maps/dir/40.400673376887404,-3.676298173141196/40.400789,-3.6744/@40.400673376887404,-3.676298173141196,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.676298173141196!2d40.400673376887404!1m0!3e2"
Instalación Deportiva Municipal Básica Colombia,CALLE COLOMBIA 59,Colombia,Calle Colombia nº 7,"https://www.google.com/maps/dir/40.457759787152014,-3.669215880508611/40.4572466,-3.6763439/@40.457759787152014,-3.669215880508611,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.669215880508611!2d40.457759787152014!1m0!3e2"
Instalación Deportiva Municipal Básica Colonia Euskalduna,CALLE HERMANDAD DE DONANTES DE SANGRE 7,Glorieta de Cádiz,Calle Antonio López nº 129,"https://www.google.com/maps/dir/40.35456935043359,-3.699754645665144/40.38895,-3.70017/@40.35456935043359,-3.699754645665144,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.699754645665144!2d40.35456935043359!1m0!3e2"
Instalación Deportiva Municipal Básica Colonia Marconi,AVENIDA MARCONI s/n,Embajadores 191,Calle Sodio nº 1B,"https://www.google.com/maps/dir/40.33393325295466,-3.6931253996834856/40.389258643579105,-3.6903589643353483/@40.33393325295466,-3.6931253996834856,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6931253996834856!2d40.33393325295466!1m0!3e2"
Instalación Deportiva Municipal Básica Colonia San Cristóbal de Los Ángeles,CALLE ROCAFORT s/n Detrás de E. I. Los Pinos.,Embajadores 191,Calle Sodio nº 1B,"https://www.google.com/maps/dir/40.34108883895775,-3.6897253636919576/40.389258643579105,-3.6903589643353483/@40.34108883895775,-3.6897253636919576,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6897253636919576!2d40.34108883895775!1m0!3e2"
Instalación Deportiva Municipal Básica Colonia Sierra del Valle,CALLE PAYASO FOFO 7,Concordia,Calle Arroyo del Olivar nº 6,"https://www.google.com/maps/dir/40.39084028688396,-3.6598693175789343/40.39382977920336,-3.6659362429356372/@40.39084028688396,-3.6598693175789343,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6598693175789343!2d40.39084028688396!1m0!3e2"
Instalación Deportiva Municipal Básica Colonia los Taxistas,"CALLE SIERRA DE CUERDA LARGA 41, 43, 45 y 47",Sierra Toledana,Camino de Valderribas nº 94,"https://www.google.com/maps/dir/40.39966893400019,-3.656750264445625/40.39901531507069,-3.6607768678037744/@40.39966893400019,-3.656750264445625,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.656750264445625!2d40.39966893400019!1m0!3e2"
Instalación Deportiva Municipal Básica Concejal Gabriel Fernández (Parque Cuña Verde),CALLE CUART DE POBLET 6 c/v Duquesa de Parcent,Caramuel,Calle Caramuel nº 51,"https://www.google.com/maps/dir/40.39717971610274,-3.7518546091873803/40.40913630273305,-3.728533714316331/@40.39717971610274,-3.7518546091873803,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7518546091873803!2d40.39717971610274!1m0!3e2"
Instalación Deportiva Municipal Básica Conde Duque,CALLE SANTA CRUZ DE MARCENADO 21,Conde Duque,Calle Conde Duque nº 22,"https://www.google.com/maps/dir/40.42890457185098,-3.710390334447589/40.4273264,-3.7104417/@40.42890457185098,-3.710390334447589,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.710390334447589!2d40.42890457185098!1m0!3e2"
Instalación Deportiva Municipal Básica Condesa de Venadito,CALLE CONDESA DE VENADITO 7,Carlota O’Neill,Calle Carlota O'Neill nº 32,"https://www.google.com/maps/dir/40.44505998039654,-3.652958563116748/40.44370542379883,-3.648958444298144/@40.44505998039654,-3.652958563116748,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.652958563116748!2d40.44505998039654!1m0!3e2"
Instalación Deportiva Municipal Básica Cordel de Pavones,CALLE CORDEL DE PAVONES 11,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.39990644210208,-3.6185840558372244/40.400368,-3.634587/@40.39990644210208,-3.6185840558372244,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6185840558372244!2d40.39990644210208!1m0!3e2"
Instalación Deportiva Municipal Básica Cordel de Pavones I,CALLE CORDEL DE PAVONES 9,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.40930182229157,-3.608605091516184/40.400368,-3.634587/@40.40930182229157,-3.608605091516184,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.608605091516184!2d40.40930182229157!1m0!3e2"
Instalación Deportiva Municipal Básica Corregidor Diego de Valderrábano,CALLE CORREGIDOR DIEGO DE VALDERRABANO 24,Camino Vinateros,Calle Camino de los Vinateros nº 28,"https://www.google.com/maps/dir/40.40940474947577,-3.6588602502598873/40.41053,-3.65779/@40.40940474947577,-3.6588602502598873,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6588602502598873!2d40.40940474947577!1m0!3e2"
Instalación Deportiva Municipal Básica Cuevas de Almanzora,CALLE MOJACAR 2,Pío XII,Avenida Pío XII nº 3,"https://www.google.com/maps/dir/40.47940888739177,-3.658140197005035/40.46041,-3.67712/@40.47940888739177,-3.658140197005035,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.658140197005035!2d40.47940888739177!1m0!3e2"
Instalación Deportiva Municipal Básica Cuña Verde,INST. DEPORTIVA BASICA CUÑA VERDE VILLAAMIL 126,Francos Rodríguez,Calle Francos Rodríguez nº 62,"https://www.google.com/maps/dir/40.46756884233495,-3.7117310848273233/40.45673408797698,-3.708002730875242/@40.46756884233495,-3.7117310848273233,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7117310848273233!2d40.46756884233495!1m0!3e2"
Instalación Deportiva Municipal Básica Cárcavas Oeste I,CALLE CARMEN RICO GODOY 40,Carlota O’Neill,Calle Carlota O'Neill nº 32,"https://www.google.com/maps/dir/40.48013725057699,-3.635430388203537/40.44370542379883,-3.648958444298144/@40.48013725057699,-3.635430388203537,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.635430388203537!2d40.48013725057699!1m0!3e2"
Instalación Deportiva Municipal Básica Cárcavas Oeste II,CALLE SAN ANDRES DE RABANEDO 1,Carlota O’Neill,Calle Carlota O'Neill nº 32,"https://www.google.com/maps/dir/40.48087402947953,-3.6345699273053054/40.44370542379883,-3.648958444298144/@40.48087402947953,-3.6345699273053054,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6345699273053054!2d40.48087402947953!1m0!3e2"
Instalación Deportiva Municipal Básica David González Rubio,CALLE DOCTOR TOLOSA LATOUR 6-10 Parque Pradolongo,Glorieta de Cádiz,Calle Antonio López nº 129,"https://www.google.com/maps/dir/40.375239149670676,-3.702253695777978/40.38895,-3.70017/@40.375239149670676,-3.702253695777978,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.702253695777978!2d40.375239149670676!1m0!3e2"
Instalación Deportiva Municipal Básica Dehesa del Príncipe,AVENIDA ARQUEROS 29,Caramuel,Calle Caramuel nº 51,"https://www.google.com/maps/dir/40.379186090420234,-3.7953243919503508/40.40913630273305,-3.728533714316331/@40.379186090420234,-3.7953243919503508,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7953243919503508!2d40.379186090420234!1m0!3e2"
Instalación Deportiva Municipal Básica Diana,CALLE GALEON 25,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,"https://www.google.com/maps/dir/40.45721870340052,-3.5845999549053547/40.429706,-3.640994/@40.45721870340052,-3.5845999549053547,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.5845999549053547!2d40.45721870340052!1m0!3e2"
Instalación Deportiva Municipal Básica Doctor Cirajas,CALLE DOCTOR CIRAJAS 3,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,"https://www.google.com/maps/dir/40.435515856536526,-3.6374563613179753/40.429706,-3.640994/@40.435515856536526,-3.6374563613179753,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6374563613179753!2d40.435515856536526!1m0!3e2"
Instalación Deportiva Municipal Básica Doctor Vallejo-Nájera,CALLE GASOMETRO 32 c/v Vallejo Nájera,Paseo de la Esperanza,Paseo de la Esperanza nº 2,"https://www.google.com/maps/dir/40.40233909331515,-3.7080621422210975/40.4035988,-3.7064516/@40.40233909331515,-3.7080621422210975,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7080621422210975!2d40.40233909331515!1m0!3e2"
Instalación Deportiva Municipal Básica Drácena,CALLE DRACENA 42,Pío XII,Avenida Pío XII nº 3,"https://www.google.com/maps/dir/40.46425775938073,-3.6687849660111347/40.46041,-3.67712/@40.46425775938073,-3.6687849660111347,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6687849660111347!2d40.46425775938073!1m0!3e2"
Instalación Deportiva Municipal Básica Duque de Sevilla,CALLE DUQUE DE SEVILLA 1,María Francisca 1,Calle María Francisca nº 1,"https://www.google.com/maps/dir/40.44166603700321,-3.6791142497783973/40.4442258,-3.6787169/@40.44166603700321,-3.6791142497783973,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6791142497783973!2d40.44166603700321!1m0!3e2"
Instalación Deportiva Municipal Básica Echegaray,CALLE ENCOMIENDA DE PALACIOS 324,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.397201660302876,-3.63557478412475/40.400368,-3.634587/@40.397201660302876,-3.63557478412475,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.63557478412475!2d40.397201660302876!1m0!3e2"
Instalación Deportiva Municipal Básica El Bosco,CALLE EL BOSCO 14 frente Ramón Pérez de Ayala,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,"https://www.google.com/maps/dir/40.40148296368549,-3.651406031292048/40.40617,-3.65122/@40.40148296368549,-3.651406031292048,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.651406031292048!2d40.40148296368549!1m0!3e2"
Instalación Deportiva Municipal Básica El Bosque,PLAZA GOLMAYO 17,Pío XII,Avenida Pío XII nº 3,"https://www.google.com/maps/dir/40.46714774021119,-3.6618563692082393/40.46041,-3.67712/@40.46714774021119,-3.6618563692082393,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6618563692082393!2d40.46714774021119!1m0!3e2"
Instalación Deportiva Municipal Básica El Capricho I,PASEO ALAMEDA DE OSUNA 48,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,"https://www.google.com/maps/dir/40.45430519267116,-3.599375619694702/40.429706,-3.640994/@40.45430519267116,-3.599375619694702,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.599375619694702!2d40.45430519267116!1m0!3e2"
Instalación Deportiva Municipal Básica El Capricho II,PASEO ALAMEDA DE OSUNA 46,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,"https://www.google.com/maps/dir/40.45424612279451,-3.600342165562562/40.429706,-3.640994/@40.45424612279451,-3.600342165562562,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.600342165562562!2d40.45424612279451!1m0!3e2"
Instalación Deportiva Municipal Básica El Cruce,CALLE SANTIAGO AMON 6y8,Embajadores 191,Calle Sodio nº 1B,"https://www.google.com/maps/dir/40.348947003587675,-3.693879611293337/40.389258643579105,-3.6903589643353483/@40.348947003587675,-3.693879611293337,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.693879611293337!2d40.348947003587675!1m0!3e2"
Instalación Deportiva Municipal Básica El Espinillo I,CALLE TERTULIA 7,Embajadores 191,Calle Sodio nº 1B,"https://www.google.com/maps/dir/40.361575517254266,-3.6927606788274527/40.389258643579105,-3.6903589643353483/@40.361575517254266,-3.6927606788274527,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6927606788274527!2d40.361575517254266!1m0!3e2"
Instalación Deportiva Municipal Básica El Espinillo II,CALLE CONSENSO 5,Embajadores 191,Calle Sodio nº 1B,"https://www.google.com/maps/dir/40.36060552171134,-3.686214416479886/40.389258643579105,-3.6903589643353483/@40.36060552171134,-3.686214416479886,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.686214416479886!2d40.36060552171134!1m0!3e2"
Instalación Deportiva Municipal Básica El Espinillo III,CALLE UNANIMIDAD s/n,Embajadores 191,Calle Sodio nº 1B,"https://www.google.com/maps/dir/40.36157241219842,-3.6932788501569522/40.389258643579105,-3.6903589643353483/@40.36157241219842,-3.6932788501569522,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6932788501569522!2d40.36157241219842!1m0!3e2"
Instalación Deportiva Municipal Básica El Parque,PASEO COMANDANTE FORTEA 25,Paseo de Moret,Paseo de Moret nº 11,"https://www.google.com/maps/dir/40.42589471749026,-3.7316975783571404/40.4325991,-3.7246532/@40.42589471749026,-3.7316975783571404,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7316975783571404!2d40.42589471749026!1m0!3e2"
Instalación Deportiva Municipal Básica El Pedernoso - Parque de Villa Rosa - Paco Caño,CALLE PEDROÑERAS 42,Carlota O’Neill,Calle Carlota O'Neill nº 32,"https://www.google.com/maps/dir/40.46725432234968,-3.6309383657037775/40.44370542379883,-3.648958444298144/@40.46725432234968,-3.6309383657037775,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6309383657037775!2d40.46725432234968!1m0!3e2"
Instalación Deportiva Municipal Básica El Plantío,CALLE RAFAEL VILLA S/N esq. Carlos Dubois,Facultad Derecho,Avenida Complutense nº 23,"https://www.google.com/maps/dir/40.47175814207694,-3.8255057822510574/40.45109,-3.72937/@40.47175814207694,-3.8255057822510574,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.8255057822510574!2d40.47175814207694!1m0!3e2"
Instalación Deportiva Municipal Básica El Torero,CALLE TORERO 10 c/v Antonio López (Parque El Torero),San Delfín,Calle San Delfín nº 9,"https://www.google.com/maps/dir/40.39227761286618,-3.706318951771014/40.39440607959559,-3.7080429728445563/@40.39227761286618,-3.706318951771014,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.706318951771014!2d40.39227761286618!1m0!3e2"
Instalación Deportiva Municipal Básica El Vandel,CALLE FLORENCIO CANO CRISTOBAL 9 esq. Pasaje Poveda,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.41031893017073,-3.6322802730041026/40.400368,-3.634587/@40.41031893017073,-3.6322802730041026,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6322802730041026!2d40.41031893017073!1m0!3e2"
Instalación Deportiva Municipal Básica Electra,CALLE CRONOS 65,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,"https://www.google.com/maps/dir/40.44127421398117,-3.6189277132249833/40.429706,-3.640994/@40.44127421398117,-3.6189277132249833,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6189277132249833!2d40.44127421398117!1m0!3e2"
Instalación Deportiva Municipal Básica Enrique Tierno Galván,PARQUE ENRIQUE TIERNO GALVAN ,Juan Martín,Calle Juan Martín el Empecinado nº 16,"https://www.google.com/maps/dir/40.39487669248672,-3.6861262352346653/40.400781,-3.6882407/@40.39487669248672,-3.6861262352346653,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6861262352346653!2d40.39487669248672!1m0!3e2"
Instalación Deportiva Municipal Básica Eros,CALLE EROS 6,Méndez Álvaro,Calle Retama nº 5,"https://www.google.com/maps/dir/40.39352590492843,-3.6801309337036407/40.3941388,-3.6758888/@40.39352590492843,-3.6801309337036407,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6801309337036407!2d40.39352590492843!1m0!3e2"
Instalación Deportiva Municipal Básica Esfinge,CALLE ESFINGE 60 c/v Circe,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,"https://www.google.com/maps/dir/40.44229135833031,-3.608914308760063/40.429706,-3.640994/@40.44229135833031,-3.608914308760063,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.608914308760063!2d40.44229135833031!1m0!3e2"
Instalación Deportiva Municipal Básica Esperanza I - Club Virgen de la Esperanza,CALLE SILVANO 65,Carlota O’Neill,Calle Carlota O'Neill nº 32,"https://www.google.com/maps/dir/40.45993986921884,-3.642319354553547/40.44370542379883,-3.648958444298144/@40.45993986921884,-3.642319354553547,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.642319354553547!2d40.45993986921884!1m0!3e2"
Instalación Deportiva Municipal Básica Esperanza II,CALLE SILVANO 61,Carlota O’Neill,Calle Carlota O'Neill nº 32,"https://www.google.com/maps/dir/40.459082202600115,-3.643098932325283/40.44370542379883,-3.648958444298144/@40.459082202600115,-3.643098932325283,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.643098932325283!2d40.459082202600115!1m0!3e2"
Instalación Deportiva Municipal Básica Estanque de las Tormentas,CALLE ARROYO DE POZUELO S/N,Facultad Derecho,Avenida Complutense nº 23,"https://www.google.com/maps/dir/40.45211512813871,-3.7832937390386396/40.45109,-3.72937/@40.45211512813871,-3.7832937390386396,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7832937390386396!2d40.45211512813871!1m0!3e2"
Instalación Deportiva Municipal Básica Estefanita,CALLE ESTEFANITA 7 Detrás del CEIP El Greco,Embajadores 191,Calle Sodio nº 1B,"https://www.google.com/maps/dir/40.345660999492566,-3.6752185536053323/40.389258643579105,-3.6903589643353483/@40.345660999492566,-3.6752185536053323,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6752185536053323!2d40.345660999492566!1m0!3e2"
Instalación Deportiva Municipal Básica Estíbaliz,CALLE ESTIBALIZ 30,Carlota O’Neill,Calle Carlota O'Neill nº 32,"https://www.google.com/maps/dir/40.469514561623285,-3.6490195041524114/40.44370542379883,-3.648958444298144/@40.469514561623285,-3.6490195041524114,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6490195041524114!2d40.469514561623285!1m0!3e2"
Instalación Deportiva Municipal Básica Euterpe,CALLE EUTERPE 1,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,"https://www.google.com/maps/dir/40.44749880003797,-3.5915203945028886/40.429706,-3.640994/@40.44749880003797,-3.5915203945028886,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.5915203945028886!2d40.44749880003797!1m0!3e2"
Instalación Deportiva Municipal Básica Eva Duarte,CALLE DOCTOR GOMEZ ULLA 9,Ortega y Gasset 87,Calle Ortega y Gasset nº 87,"https://www.google.com/maps/dir/40.42997423940213,-3.667961859746943/40.429887,-3.6712823/@40.42997423940213,-3.667961859746943,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.667961859746943!2d40.42997423940213!1m0!3e2"
Instalación Deportiva Municipal Básica Evangelios-Almendrales,CALLE EVANGELIOS 4,Glorieta de Cádiz,Calle Antonio López nº 129,"https://www.google.com/maps/dir/40.383258382877266,-3.7005815819050203/40.38895,-3.70017/@40.383258382877266,-3.7005815819050203,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7005815819050203!2d40.383258382877266!1m0!3e2"
Instalación Deportiva Municipal Básica Fermín Caballero,CALLE FERMIN CABALLERO 88,Francos Rodríguez,Calle Francos Rodríguez nº 62,"https://www.google.com/maps/dir/40.47935162025493,-3.719158405265364/40.45673408797698,-3.708002730875242/@40.47935162025493,-3.719158405265364,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.719158405265364!2d40.47935162025493!1m0!3e2"
Instalación Deportiva Municipal Básica Francisco Laguna,CALLE FRANCISCO LAGUNA 26,Concordia,Calle Arroyo del Olivar nº 6,"https://www.google.com/maps/dir/40.39051190105737,-3.669975407440883/40.39382977920336,-3.6659362429356372/@40.39051190105737,-3.669975407440883,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.669975407440883!2d40.39051190105737!1m0!3e2"
Instalación Deportiva Municipal Básica Frontón Orcasitas,AVENIDA RAFAELA YBARRA 103 Parque de Orcasitas,Glorieta de Cádiz,Calle Antonio López nº 129,"https://www.google.com/maps/dir/40.37064655641207,-3.7122298796847235/40.38895,-3.70017/@40.37064655641207,-3.7122298796847235,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7122298796847235!2d40.37064655641207!1m0!3e2"
Instalación Deportiva Municipal Básica Frontón Polideportivo San Fermín,"CALLE ESTAFETA 2 c/v calle San Mario, 18",Embajadores 191,Calle Sodio nº 1B,"https://www.google.com/maps/dir/40.374396615335975,-3.6925739180872332/40.389258643579105,-3.6903589643353483/@40.374396615335975,-3.6925739180872332,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6925739180872332!2d40.374396615335975!1m0!3e2"
Instalación Deportiva Municipal Básica Frontón San Fermín,CAMINO PERALES 136 c/v calle de Torrox,Embajadores 191,Calle Sodio nº 1B,"https://www.google.com/maps/dir/40.36990586456809,-3.6872392651660495/40.389258643579105,-3.6903589643353483/@40.36990586456809,-3.6872392651660495,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6872392651660495!2d40.36990586456809!1m0!3e2"
Instalación Deportiva Municipal Básica Frontón Tudelillas,AVENIDA PABLO IGLESIAS 62,Pablo Iglesias,Calle Francisco Balseiro nº 1,"https://www.google.com/maps/dir/40.451690390542296,-3.7110210478690155/40.451333,-3.710525/@40.451690390542296,-3.7110210478690155,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7110210478690155!2d40.451690390542296!1m0!3e2"
Instalación Deportiva Municipal Básica Fuente Espina,CALLE FUENTESPINA 29,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.379273217545474,-3.6064126945492285/40.400368,-3.634587/@40.379273217545474,-3.6064126945492285,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6064126945492285!2d40.379273217545474!1m0!3e2"
Instalación Deportiva Municipal Básica Fuente de Lima,CALLE FUENTE DE LIMA 24,Caramuel,Calle Caramuel nº 51,"https://www.google.com/maps/dir/40.3825571125298,-3.7818748425273556/40.40913630273305,-3.728533714316331/@40.3825571125298,-3.7818748425273556,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7818748425273556!2d40.3825571125298!1m0!3e2"
Instalación Deportiva Municipal Básica Fuerte de Navidad,CALLE FUERTE DE NAVIDAD  c/v La Isabela,Caramuel,Calle Caramuel nº 51,"https://www.google.com/maps/dir/40.38109378379431,-3.7649408263985067/40.40913630273305,-3.728533714316331/@40.38109378379431,-3.7649408263985067,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7649408263985067!2d40.38109378379431!1m0!3e2"
Instalación Deportiva Municipal Básica Félix Rodríguez de la Fuente,CALLE FELIX RODRIGUEZ DE LA FUENTE 3,Camino Vinateros,Calle Camino de los Vinateros nº 28,"https://www.google.com/maps/dir/40.414683229860835,-3.6590060269964693/40.41053,-3.65779/@40.414683229860835,-3.6590060269964693,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6590060269964693!2d40.414683229860835!1m0!3e2"
Instalación Deportiva Municipal Básica Galeón,CALLE GALEON 3,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,"https://www.google.com/maps/dir/40.45591483433643,-3.585897770294804/40.429706,-3.640994/@40.45591483433643,-3.585897770294804,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.585897770294804!2d40.45591483433643!1m0!3e2"
Instalación Deportiva Municipal Básica Garrovillas,PLAZA GARROVILLAS S/N,Caramuel,Calle Caramuel nº 51,"https://www.google.com/maps/dir/40.38011667026133,-3.7790546404419656/40.40913630273305,-3.728533714316331/@40.38011667026133,-3.7790546404419656,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7790546404419656!2d40.38011667026133!1m0!3e2"
Instalación Deportiva Municipal Básica General Millán Astray,CALLE MAESTRA JUSTA FREIRE 2,Caramuel,Calle Caramuel nº 51,"https://www.google.com/maps/dir/40.37967979685691,-3.7684385984894484/40.40913630273305,-3.728533714316331/@40.37967979685691,-3.7684385984894484,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7684385984894484!2d40.37967979685691!1m0!3e2"
Instalación Deportiva Municipal Básica Glorieta Avenida San Luis,CALLE Añastro 78,Pío XII,Avenida Pío XII nº 3,"https://www.google.com/maps/dir/40.4671739676516,-3.6645674105696378/40.46041,-3.67712/@40.4671739676516,-3.6645674105696378,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6645674105696378!2d40.4671739676516!1m0!3e2"
Instalación Deportiva Municipal Básica Glorieta de Segovia,PASEO Ciudad de Plasencia ,Segovia 26,Calle Segovia nº 26,"https://www.google.com/maps/dir/40.41246022343046,-3.714538784977571/40.4138333,-3.7135833/@40.41246022343046,-3.714538784977571,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.714538784977571!2d40.41246022343046!1m0!3e2"
Instalación Deportiva Municipal Básica Gran Vía de Hortaleza,AVENIDA GRAN VIA DE HORTALEZA 1,Pío XII,Avenida Pío XII nº 3,"https://www.google.com/maps/dir/40.4647876018932,-3.6596724032712897/40.46041,-3.67712/@40.4647876018932,-3.6596724032712897,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6596724032712897!2d40.4647876018932!1m0!3e2"
Instalación Deportiva Municipal Básica Guadalajara,AVENIDA GUADALAJARA S/N,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,"https://www.google.com/maps/dir/40.42048481589473,-3.618277425225656/40.429706,-3.640994/@40.42048481589473,-3.618277425225656,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.618277425225656!2d40.42048481589473!1m0!3e2"
Instalación Deportiva Municipal Básica Hermanos Trueba,CALLE HERMANOS TRUEBA 30,Concordia,Calle Arroyo del Olivar nº 6,"https://www.google.com/maps/dir/40.38569029812835,-3.6624581249928854/40.39382977920336,-3.6659362429356372/@40.38569029812835,-3.6624581249928854,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6624581249928854!2d40.38569029812835!1m0!3e2"
Instalación Deportiva Municipal Básica Hogar del Ferroviario,"AVENIDA MEDITERRANEO S/N Colonia Ferroviarios, frente a Manuel Mª Arrillaga, 51",Doctor Lozano,Calle Sierra Toledana nº 33,"https://www.google.com/maps/dir/40.40695911649336,-3.6611698838232107/40.40248333540473,-3.660188083470652/@40.40695911649336,-3.6611698838232107,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6611698838232107!2d40.40695911649336!1m0!3e2"
Instalación Deportiva Municipal Básica Hornero,CALLE HORNERO 1,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,"https://www.google.com/maps/dir/40.38821661890276,-3.7205798436124597/40.398247,-3.716591/@40.38821661890276,-3.7205798436124597,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7205798436124597!2d40.38821661890276!1m0!3e2"
