Place of interest,Station location,BiciMAD station,Station location,Indications
Instalación Deportiva Básica Parque Real de Arganda,CALLE REAL DE ARGANDA 45,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.37949103344629,-3.6150999353765094/40.400368,-3.634587/@40.37949103344629,-3.6150999353765094,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6150999353765094!2d40.37949103344629!1m0!3e2"
Instalación Deportiva Básica Parque Santa Eugenia,CALLE ZAZUAR 12,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.38131130575197,-3.608459149580722/40.400368,-3.634587/@40.38131130575197,-3.608459149580722,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.608459149580722!2d40.38131130575197!1m0!3e2"
Instalación Deportiva Básica Parque Villa de Vallecas,CALLE PUERTO DE PORZUNA 50,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.37277996162931,-3.6253783281885656/40.400368,-3.634587/@40.37277996162931,-3.6253783281885656,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6253783281885656!2d40.37277996162931!1m0!3e2"
Instalación Deportiva Básica Parque de Enrique Herreros,CALLE BRAVO MURILLO 49,Canal,Calle José Abascal frente al nº 2,"https://www.google.com/maps/dir/40.43935627177327,-3.704371546221416/40.4386944,-3.7038333/@40.43935627177327,-3.704371546221416,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.704371546221416!2d40.43935627177327!1m0!3e2"
Instalación Deportiva Básica Parque del Cementerio,CALLE MONTES DE BARBANZA 15,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.37710310380217,-3.6185063391325323/40.400368,-3.634587/@40.37710310380217,-3.6185063391325323,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6185063391325323!2d40.37710310380217!1m0!3e2"
Instalación Deportiva Básica Parroquia Santa Eugenia,CALLE VIRGEN DE LAS VI&amp;Ntilde;AS 15,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.38008195615357,-3.608267379645755/40.400368,-3.634587/@40.38008195615357,-3.608267379645755,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.608267379645755!2d40.38008195615357!1m0!3e2"
Instalación Deportiva Básica Peñaranda de Bracamonte,CALLE PEÑARANDA DE BRACAMONTE 4,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.37533906377627,-3.604183911642277/40.400368,-3.634587/@40.37533906377627,-3.604183911642277,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.604183911642277!2d40.37533906377627!1m0!3e2"
Instalación Deportiva Básica Pista de Patinaje,CALLE PUERTO DE PORZUNA,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.37277996162931,-3.6253783281885656/40.400368,-3.634587/@40.37277996162931,-3.6253783281885656,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6253783281885656!2d40.37277996162931!1m0!3e2"
Instalación Deportiva Básica Poza de la Sal,CALLE POZA DE LA SAL 2,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.37912373319082,-3.6029851282692733/40.400368,-3.634587/@40.37912373319082,-3.6029851282692733,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6029851282692733!2d40.37912373319082!1m0!3e2"
Instalación Deportiva Básica Puentelarra,CALLE PUENTELARRA 12,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.38324470241852,-3.6091362899378696/40.400368,-3.634587/@40.38324470241852,-3.6091362899378696,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6091362899378696!2d40.38324470241852!1m0!3e2"
