pk_ins,Place of interest,ins_latitude,ins_longitude,bicimad_latitude,bicimad_longitude,distance,Station location,Station ID,BiciMAD station
4554531,Instalación Deportiva Municipal Básica Poblado Dirigido La Elipa,40.42181734986071,-3.656022586072076,40.422962108947424,-3.6555552857442697,137.6826534125618,Avenida Marqués de Corbera nº 12,241.0,Marqués de Corbera 12
5688632,Instalación Deportiva Municipal Básica Pobladura del Valle,40.42474106519291,-3.620898051733735,40.429706,-3.640994,2308.7026967127354,Calle Gutierre de Cetina nº 77,223.0,Gutierre de Cetina
4531342,Instalación Deportiva Municipal Básica Poeta Esteban Villegas,40.40875051210095,-3.683108580090566,40.4051451,-3.6803874,503.2143083772595,Avenida de Menéndez Pelayo nº 38,83.0,Puerta de Granada
4546653,Instalación Deportiva Municipal Básica Polígono 20,40.44961759191476,-3.6641939594197392,40.44421,-3.66683,669.9480157404297,Calle Santa Hortensia nº 31,259.0,Corazón de María
4557627,Instalación Deportiva Municipal Básica Polígono de las Rosas,40.425863011303306,-3.602966146720566,40.429706,-3.640994,4263.232235727419,Calle Gutierre de Cetina nº 77,223.0,Gutierre de Cetina
4550112,Instalación Deportiva Municipal Básica Polígono de África,40.4203329571052,-3.629721806497472,40.429706,-3.640994,1633.8924842505503,Calle Gutierre de Cetina nº 77,223.0,Gutierre de Cetina
6218289,Instalación Deportiva Municipal Básica Pradillo,40.4490802538165,-3.672985961911911,40.4441388,-3.6751388,600.2153258684267,Calle Suero de Quiñones nº 2,204.0,Prosperidad
4560398,Instalación Deportiva Municipal Básica Pradillo - Santa Marca,40.4490802538165,-3.672985961911911,40.4441388,-3.6751388,600.2153258684267,Calle Suero de Quiñones nº 2,204.0,Prosperidad
4560680,Instalación Deportiva Municipal Básica Prosperidad,40.44901182281747,-3.672360271279946,40.4441388,-3.6751388,624.7632267379792,Calle Suero de Quiñones nº 2,204.0,Prosperidad
4554394,Instalación Deportiva Municipal Básica Pueblo Nuevo II,40.43092216576642,-3.6389220332415686,40.429706,-3.640994,267.84956328017296,Calle Gutierre de Cetina nº 77,223.0,Gutierre de Cetina
4549863,Instalación Deportiva Municipal Básica Puente Ventas,40.43223738609814,-3.6597904281119016,40.4311944,-3.6590555,142.12969069052897,Avenida de Daroca nº 2,196.0,Puente de Ventas
4584733,Instalación Deportiva Municipal Básica Puerto Balbarán,40.385626656274496,-3.6703746985545727,40.39382977920336,-3.6659362429356372,1038.7491237257198,Calle Arroyo del Olivar nº 6,236.0,Concordia
4584467,Instalación Deportiva Municipal Básica Puerto Corlite,40.38652159660646,-3.654113042627941,40.39382977920336,-3.6659362429356372,1549.5799941895218,Calle Arroyo del Olivar nº 6,236.0,Concordia
4584683,Instalación Deportiva Municipal Básica Puerto Costabona,40.38534920722133,-3.659085275095322,40.39382977920336,-3.6659362429356372,1214.5980367491313,Calle Arroyo del Olivar nº 6,236.0,Concordia
10283172,Instalación Deportiva Municipal Básica Puerto Costabona Tenis,40.383547463802486,-3.657489035180435,40.39382977920336,-3.6659362429356372,1482.5715372158888,Calle Arroyo del Olivar nº 6,236.0,Concordia
4538569,Instalación Deportiva Municipal Básica Puerto Lumbreras,40.38134838588081,-3.620134273150991,40.400368,-3.634587,2661.1330934814678,Calle Hacienda de Pavones nº 342,229.0,Pavones
4582782,Instalación Deportiva Municipal Básica Puerto Monasterio,40.39446617270601,-3.663852045873069,40.39382977920336,-3.6659362429356372,243.04120715701637,Calle Arroyo del Olivar nº 6,236.0,Concordia
4547250,Instalación Deportiva Municipal Básica Puerto Rico,40.45912717792007,-3.6742066744010815,40.4572466,-3.6763439,317.2733003150601,Calle Colombia nº 7,172.0,Colombia
4584508,Instalación Deportiva Municipal Básica Puerto Velate,40.38385291081796,-3.656054694044056,40.39382977920336,-3.6659362429356372,1564.7523936769815,Calle Arroyo del Olivar nº 6,236.0,Concordia
4543988,Instalación Deportiva Municipal Básica Puerto de Béjar,40.38829590912064,-3.686825277248739,40.389258643579105,-3.6903589643353483,408.4939663195043,Calle Sodio nº 1B,243.0,Embajadores 191
10283212,Instalación Deportiva Municipal Básica Puerto de Costabona,40.38534920722133,-3.659085275095322,40.39382977920336,-3.6659362429356372,1214.5980367491313,Calle Arroyo del Olivar nº 6,236.0,Concordia
7267217,Instalación Deportiva Municipal Básica Pádel - Madrid Las Tablas,40.50272219093648,-3.674088278900579,40.47938,-3.68532,2884.724259592157,Paseo de la Castellana nº 298,257.0,Manuel Caldeiro
4557262,Instalación Deportiva Municipal Básica Quinta de Los Molinos I,40.441749846959226,-3.624297141481054,40.429706,-3.640994,2294.810186875688,Calle Gutierre de Cetina nº 77,223.0,Gutierre de Cetina
6346926,Instalación Deportiva Municipal Básica Quinta de Los Molinos II,40.44056376610166,-3.633660128447063,40.429706,-3.640994,1459.4919410105679,Calle Gutierre de Cetina nº 77,223.0,Gutierre de Cetina
4544060,Instalación Deportiva Municipal Básica Ramírez de Prado,40.39931615081684,-3.6894943693155353,40.400781,-3.6882407,214.82074151835874,Calle Juan Martín el Empecinado nº 16,126.0,Juan Martín
4633340,Instalación Deportiva Municipal Básica Ramón Gómez de la Serna,40.48459542261755,-3.72483060450493,40.45673408797698,-3.708002730875242,3625.370182538314,Calle Francos Rodríguez nº 62,247.0,Francos Rodríguez
6331303,Instalación Deportiva Municipal Básica Ramón Power,40.46286014432641,-3.6321829085902193,40.44370542379883,-3.648958444298144,2836.9246686062975,Calle Carlota O'Neill nº 32,238.0,Carlota O’Neill
4584500,Instalación Deportiva Municipal Básica Ramón Pérez de Ayala,40.39993169276006,-3.65170924804004,40.40617,-3.65122,696.5862449802764,Calle Arroyo de las Pilillas nº 6,228.0,Plaza del Encuentro
4556628,Instalación Deportiva Municipal Básica Rancho del Cordobés,40.36863673526262,-3.6960838611781632,40.38895,-3.70017,2306.7456253426553,Calle Antonio López nº 129,221.0,Glorieta de Cádiz
5870423,Instalación Deportiva Municipal Básica Recinto Ferial San Antonio de la Florida,40.42540456917053,-3.7265642881836016,40.4219665,-3.7224983,593.4763211729147,Paseo de la Florida nº 8,132.0,Paseo de la Florida
4544084,Instalación Deportiva Municipal Básica Ricardo Damas,40.38516507804954,-3.692142254888889,40.389258643579105,-3.6903589643353483,497.22118456499044,Calle Sodio nº 1B,243.0,Embajadores 191
4584706,Instalación Deportiva Municipal Básica Ronda Sur,40.3736230480929,-3.663164496710361,40.39382977920336,-3.6659362429356372,2270.552171701986,Calle Arroyo del Olivar nº 6,236.0,Concordia
4547299,Instalación Deportiva Municipal Básica Rosa Jardón,40.46547349226097,-3.6688677974512,40.46041,-3.67712,1079.3882801954285,Avenida Pío XII nº 3,262.0,Pío XII
4583429,Instalación Deportiva Municipal Básica San Anselmo,40.3858046479703,-3.655036851643162,40.39382977920336,-3.6659362429356372,1508.7206914886094,Calle Arroyo del Olivar nº 6,236.0,Concordia
5695702,Instalación Deportiva Municipal Básica San Aureliano,40.34255142792559,-3.715902155501163,40.38895,-3.70017,5455.072741134307,Calle Antonio López nº 129,221.0,Glorieta de Cádiz
4566165,Instalación Deportiva Municipal Básica San Benigno,40.40467084433323,-3.7371479929917073,40.40913630273305,-3.728533714316331,1081.9314265538342,Calle Caramuel nº 51,232.0,Caramuel
5694370,Instalación Deportiva Municipal Básica San Cristóbal de Los Ángeles II,40.343480612836665,-3.6889961753443936,40.389258643579105,-3.6903589643353483,5098.254048218931,Calle Sodio nº 1B,243.0,Embajadores 191
5694411,Instalación Deportiva Municipal Básica San Cristóbal de Los Ángeles III,40.33966893636725,-3.690641012544881,40.389258643579105,-3.6903589643353483,5520.390614826368,Calle Sodio nº 1B,243.0,Embajadores 191
4548698,Instalación Deportiva Municipal Básica San Juan Bautista - Cidamón,40.451304609076615,-3.655896497411837,40.44315,-3.65741,923.3325681711118,Calle Condesa de Venadito nº 2,222.0,Condesa de Venadito
