PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,PLANTA,PUERTA,ESCALERAS,ORIENTACION,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO,Unnamed: 30,ins_latitude,ins_longitude,bicimad_latitude,bicimad_longitude,distance,id,name,light,number,address,activate,no_available,total_bases,dock_bikes,free_bases,reservations_count,geometry_type,geometry_coordinates,latitude,longitude
4670011,Instalación Deportiva Municipal Básica Montalbos,,,1 Pista de patinaje3 Pistas de chito,"Metro: CanillasBus: 73 , 112 , 120 , 122 , 153.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9b19d141f97c5110VgnVCM1000000b205a0aRCRD,MONTALBOS,CALLE,V,14,,,,,MADRID,MADRID,28043.0,CANILLAS,HORTALEZA,445981.0,4479502.0,40.46443633174865,-3.637175309306409,,,,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasPatinaje, ,40.46443633174865,-3.637175309306409,40.44370542379883,-3.648958444298144,2655.7938926957777,238.0,Carlota O’Neill,0.0,230,Calle Carlota O'Neill nº 32,1.0,0.0,24.0,1.0,22.0,0.0,Point,"[-3.648958444298144, 40.44370542379883]",40.44370542379883,-3.648958444298144
178423,Instalación Deportiva Municipal Básica Montecarmelo,,,Pista de baloncesto. Campo de fútbol 7 (césped artificial). Pista de fútbol sala,Bus: 704,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc56395961e4f010VgnVCM2000000c205a0aRCRD,MONASTERIO DE EL PAULAR,CALLE,V,138,,,,,MADRID,MADRID,28049.0,MIRASIERRA,FUENCARRAL-EL PARDO,440643.0,4483540.0,40.500438927851775,-3.700512809058562,S/T,,,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol, ,40.500438927851775,-3.700512809058562,40.481086,-3.688463,2539.302499323298,225.0,Pedro Rico,2.0,217,Calle Pedro Rico nº 4,1.0,0.0,24.0,13.0,10.0,0.0,Point,"[-3.688463, 40.481086]",40.481086,-3.688463
10966950,Instalación Deportiva Municipal Básica Montecarmelo McDonald´s,,,Pista polideportiva.,Bus: 704,,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4f9419106482b610VgnVCM2000001f4a900aRCRD,MONTECARMELO,AVENIDA,V,1,,,,,MADRID,MADRID,28049.0,MIRASIERRA,FUENCARRAL-EL PARDO,440948.0,4483692.0,40.50184008646731,-3.6969247603864392,S/T,,,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol, ,40.50184008646731,-3.6969247603864392,40.481086,-3.688463,2495.721748544091,225.0,Pedro Rico,2.0,217,Calle Pedro Rico nº 4,1.0,0.0,24.0,13.0,10.0,0.0,Point,"[-3.688463, 40.481086]",40.481086,-3.688463
5870223,Instalación Deportiva Municipal Básica Mozart,,,1 Campo de fútbol 7,"Metro: Príncipe Pío.Bus: 25 , 33 , 39 , 41 , 46 , 62 , 75 , 138 , C.Renfe: Príncipe Pío.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3416f80f8de5c210VgnVCM1000000b205a0aRCRD,MOZART,CALLE,V,s/n,,,,,MADRID,MADRID,28008.0,CASA DE CAMPO,MONCLOA-ARAVACA,438926.0,4475306.0,40.4242665417876,-3.7212709022034463,,,,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol, ,40.4242665417876,-3.7212709022034463,40.4219665,-3.7224983,290.351290261399,132.0,Paseo de la Florida,2.0,161,Paseo de la Florida nº 8,1.0,0.0,27.0,11.0,14.0,0.0,Point,"[-3.7224983, 40.4219665]",40.4219665,-3.7224983
4528327,Instalación Deportiva Municipal Básica Mártires Maristas,,,1 Pista de baloncesto.,"Metro: ValdezarzaBus: 64 , 82 , 126 ,  127 , 132 , 137.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=745473fc54ff0110VgnVCM1000000b205a0aRCRD,MARTIRES MARISTAS,AVENIDA,V,2,,,,c/v Antonio Machado,MADRID,MADRID,28035.0,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,439086.0,4479520.0,40.46223975914155,-3.719777931388968,,,,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas, ,40.46223975914155,-3.719777931388968,40.45673408797698,-3.708002730875242,1449.514724538408,247.0,Francos Rodríguez,0.0,239,Calle Francos Rodríguez nº 62,1.0,0.0,24.0,2.0,20.0,1.0,Point,"[-3.708002730875242, 40.45673408797698]",40.45673408797698,-3.708002730875242
4541310,Instalación Deportiva Municipal Básica Nevado de Cumbal,,,1 Campo de fútbol 11 de césped artificial (con 2 marcajes de fútbol 7),"Metro: Mar de CristalBus: 87 , 104 , 112 ,  120 , 125 , 153 , 172",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c03a3c00a6a51110VgnVCM1000000b205a0aRCRD,NEVADO DEL CUMBAL,CALLE,V,4,,,,,MADRID,MADRID,28033.0,PINAR DEL REY,HORTALEZA,446493.0,4480037.0,40.46928001670359,-3.63118145043629,,,,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol, ,40.46928001670359,-3.63118145043629,40.44370542379883,-3.648958444298144,3469.455989731909,238.0,Carlota O’Neill,0.0,230,Calle Carlota O'Neill nº 32,1.0,0.0,24.0,1.0,22.0,0.0,Point,"[-3.648958444298144, 40.44370542379883]",40.44370542379883,-3.648958444298144
4557490,Instalación Deportiva Municipal Básica Nicolasa Gómez,,,1 Pista polideportiva,"Metro: Torre AriasBus: 77 , 105 , 140 , 153",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0afcfc5e5ae1110VgnVCM1000000b205a0aRCRD,NICOLASA GOMEZ,CALLE,V,1,,,,,MADRID,MADRID,28022.0,CANILLEJAS,SAN BLAS-CANILLEJAS,447943.0,4477482.0,40.44448358264842,-3.615148388183279,,,,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas, ,40.44448358264842,-3.615148388183279,40.429706,-3.640994,3319.2220782055424,223.0,Gutierre de Cetina,1.0,215,Calle Gutierre de Cetina nº 77,1.0,0.0,24.0,18.0,5.0,0.0,Point,"[-3.640994, 40.429706]",40.429706,-3.640994
4583223,Instalación Deportiva Municipal Básica Novecento,,,3 Pistas de baloncesto,"Bus: 10, 57 , 102 , 136 , 144 , 310Renfe: El Pozo",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2444df453adb2110VgnVCM1000000b205a0aRCRD,NOVECENTO,CALLE,V,6,,,,,MADRID,MADRID,28018.0,PALOMERAS BAJAS,PUENTE DE VALLECAS,444619.0,4470066.0,40.37746079137422,-3.653695563861612,,,,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas, ,40.37746079137422,-3.653695563861612,40.39382977920336,-3.665936242935637,2276.996567745527,,,,,,,,,,,,,,,
4555858,Instalación Deportiva Municipal Básica Nuestra Señora de Loreto,,,1 Pista de baloncesto,"Metro: BarajasBus: 101 , 105 , 115 , 151",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=50e8afe6d20e1110VgnVCM1000000b205a0aRCRD,TIMON,CALLE,V,16,,,,,MADRID,MADRID,28042.0,TIMON,BARAJAS,450343.0,4480383.0,40.472636002948775,-3.585807144623962,,,,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas, ,40.472636002948775,-3.585807144623962,40.44370542379883,-3.648958444298144,7745.312710520589,238.0,Carlota O’Neill,0.0,230,Calle Carlota O'Neill nº 32,1.0,0.0,24.0,1.0,22.0,0.0,Point,"[-3.648958444298144, 40.44370542379883]",40.44370542379883,-3.648958444298144
6206650,Instalación Deportiva Municipal Básica Nuestra Señora de la Paloma,,,1 Pista Polideportiva,"Metro: DeliciasBus: 8 , 19 , 45 , 47 , 59 , 62 , 76 , 85 , 86 , 247Renfe: Delicias",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8163d840e4623310VgnVCM2000000c205a0aRCRD,SAN FRANCISCO,CARRERA,V,4,,,,,MADRID,MADRID,28005.0,PALACIO,CENTRO,439570.0,4473641.0,40.41119640568488,-3.712232920009733,,,,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas, ,40.41119640568488,-3.712232920009733,40.4114041,-3.7114762,87.52375144936256,42.0,Plaza de los Carros,1.0,38,Carrera de San Francisco nº 1,1.0,0.0,24.0,20.0,3.0,0.0,Point,"[-3.7114762, 40.4114041]",40.4114041,-3.7114762
